ds,t1,hum,wind_speed,is_holiday,is_weekend,season
2024-11-27,6.441666667,89.71083333,14.04583333,0,0,2
2024-11-28,3.558333333,90.93375,4.541666667,0,0,2
2024-11-29,6.775,80.01166667,12.17083333,0,0,2
2024-11-30,11.82083333,88.40666667,11.18333333,0,1,2
2024-12-01,11.5375,92.67791667,18.62916667,0,1,3
2024-12-02,9.95,80.12083333,16.325,0,0,3
2024-12-03,6.058333333,81.32625,5.783333333,0,0,3
2024-12-04,6.754166667,87.23666667,9.7875,0,0,3
2024-12-05,12.1375,88.34666667,24.69166667,0,0,3
2024-12-06,8.633333333,71.7675,20.0125,0,0,3
2024-12-07,8.579166667,79.30791667,38.98333333,0,1,3
2024-12-08,7.545833333,84.98125,27.51666667,0,1,3
2024-12-09,7.908333333,78.60583333,22.20416667,0,0,3
2024-12-10,7.066666667,80.10833333,21.25833333,0,0,3
2024-12-11,6.854166667,78.17625,15.2,0,0,3
2024-12-12,7.15,89.56208333,8.3,0,0,3
2024-12-13,5.391666667,90.58416667,7.5375,0,0,3
2024-12-14,6.066666667,85.16166667,12.36666667,0,1,3
2024-12-15,9.495833333,88.0225,18.05,0,1,3
2024-12-16,10.6375,80.26416667,18.475,0,0,3
2024-12-17,8.7375,89.56583333,14.4,0,0,3
2024-12-18,12.775,85.43041667,27.29583333,0,0,3
2024-12-19,7.383333333,75.85125,21.53333333,0,0,3
2024-12-20,6.075,84.6225,14.71666667,0,0,3
2024-12-21,8.7,83.78125,22.40833333,0,1,3
2024-12-22,6.4625,68.005,28.98333333,0,1,3
2024-12-23,6.170833333,71.2575,14.47916667,0,0,3
2024-12-24,9.658333333,93.94625,10.86666667,0,0,3
2024-12-25,9.2875,90.87958333,8.366666667,1,0,3
2024-12-26,6.9625,92.81041667,5.1,1,0,3
2024-12-27,6.4125,96.82791667,3.9,0,0,3
2024-12-28,4.858333333,93.96791667,7.3125,0,1,3
